"Name","Data Field","Data Entity","Description","API and/or CSV","Example Value","Notes"
"Acquisition - Acquired On","acquired_on","Acquisition Date","acquisition was announced","API + CSV","",""
"Acquisition - Acquiree Crunchbase URL","acquiree_cb_url","Acquisition","Crunchbase profile URL of organization that was acquired","CSV","https://www.crunchbase.com/organization/parakey",""
"Acquisition - Acquiree City","acquiree_city","Acquisition","City of organization that was acquired","CSV","Mountain View","In the API this is included in acquiree_locations"
"Acquisition - Acquiree Country Code","acquiree_country_code","Acquisition","Country of organization that was acquired","CSV","USA","3 letter country code; in the API this is included in acquiree_locations"
"Acquisition - Acquiree Name","acquiree_name","Acquisition","Name of acquired organization","API + CSV","Parakey",""
"Acquisition - Acquiree Region","acquiree_region","Acquisition","Region of organization that was acquired","CSV","California","In the API this is included in acquiree_locations"
"Acquisition - Acquiree State Code","acquiree_state_code","Acquisition","State of organization that was acquired","CSV","CA","State codes only for USA and CAN; In the API this is included in acquiree_locations"
"Acquisition - Acquiree UUID","acquiree_uuid","Acquisition","Unique Crunchbase ID of organization that was acquired","API + CSV","1843ad58-96d5-b890-705b-4737ac48c6a0",""
"Acquisition - Acquirer Crunchbase URL","acquirer_cb_url","Acquisition","Crunchbase profile URL of acquirer","CSV","https://www.crunchbase.com/organization/facebook",""
"Acquisition - Acquirer City","acquirer_city","Acquisition","City of acquiring organization","CSV","Menlo Park","In the API this is included in acquirer_locations"
"Acquisition - Acquirer Country Code","acquirer_country_code","Acquisition","Country of acquiring organization","CSV","USA","3 letter country code; In the API this is included in acquirer_locations"
"Acquisition - Acquirer Name","acquirer_name","Acquisition","Name of the acquiring organization","API + CSV","",""
"Acquisition - Acquirer Region","acquirer_region","Acquisition","Region of acquiring organization","CSV","California","In the API this is included in acquirer_locations"
"Acquisition - Acquirer State Code","acquirer_state_code","Acquisition","State of acquiring organization","CSV","CA","State codes only for USA and CAN; In the API this is included in acquirer_locations"
"Acquisition - Acquirer UUID","acquirer_uuid","Acquisition","ID used to identify the acquiring organization","API + CSV","",""
"Acquisition - Acquisition Type","acquisition_type","Acquisition","Acquisition type","API + CSV","LBO","Leveraged Buyout"
"Acquisition - Crunchbase URL","cb_url","Acquisition","URL of acqusition in Crunchbase","CSV","https://www.crunchbase.com/acquisition/facebook-acquires-parakey--2380a2ed",""
"Acquisition - Created At","created_at","Acquisition Date","acquisition record was created in Crunchbase","API + CSV","",""
"Acquisition - Name","name","Acquisition","ID used to identify the acquisition","API + CSV","Parakey acquired by Facebook",""
"Acquisition - Price","price","Acquisition","Price of acquisition","API + CSV","","May not be in usd, but will also contain the usd value"
"Acquisition - Price Currency Code","price_currency_code","Acquisition Price","currency code of acquisition","API + CSV","","May not be in usd, but will also contain the usd value"
"Acquisition - Price USD","price_usd","Acquisition Price","USD of acquisition","API + CSV","","May not be in usd, but will also contain the usd value"
"Acquisition - Rank","rank","Acquisition","Algorithmic rank assigned to top 100,000 most active acquisitions","API + CSV","",""
"Acquisition - Type","type","Acquisition","Type of entity","CSV","acquisition","It will always be acquisition in the bulk export"
"Acquisition - Updated At","updated_at","Acquisition","Time of last update to acquisition","API + CSV","",""
"Acquisition - UUID","uuid","Acquisition","ID used to identify the acquisition","API + CSV","2380a2ed-c0ea-26f4-3f93-764321069ce8",""
"Category - Category Crunchbase URL","cb_url","Category","Crunchbase URL for crunchbase category","CSV","https://www.crunchbase.com/category/internet","Crunchbase site url; In the CSV this is in category_groups.csv"
"Category - Name","name","Category","Name of category","API + CSV","Internet","In the CSV this is in category_groups.csv"
"Category - Permalink","permalink","Category","ID used to identify the category","API + CSV","","In the CSV this is in category_groups.csv"
"Category - Category Type","type","Category","Category Type of category","CSV","category","Always will be category in bulk export; In the CSV this is in category_groups.csv"
"Category - UUID","uuid","Category","ID used to identify the category","API + CSV","2772a539-e636-09dc-30dc-b1a7deb98d0e","In the CSV this is in category_groups.csv"
"Category - Category Groups","category_groups_list","Category","List of all of the category group the category falls under","API + CSV","Internet Services","In the CSV this is in category_groups.csv"
"Degree - Completed On","completed_on","Degree Date","degree was completed","API + CSV","",""
"Degree - Created At","created_at","Degree Time","Degree was created","API + CSV","",""
"Degree - Type","degree_type","Degree","Type of degree eg. MBA vs BA vs BS","API + CSV","BA",""
"Degree - School Name","institution_name","Degree","Name of the school associated with the degree","API + CSV","",""
"Degree - School UUID","institution_uuid","Degree","ID used to identify the school associated with the degree","API + CSV","",""
"Degree - Is Completed","is_completed","Degree","If the degree is completed","CSV","TRUE",""
"Degree - Name","name","Degree","ID used to identify the degree","API + CSV","BS Computer Science @ Rochester Institute of Technology",""
"Degree - Person Name","person_name","Degree","Name of the person associated with the degree","API + CSV","",""
"Degree - Person UUID","person_uuid","Degree","ID used to identify the person associated with the degree","API + CSV","",""
"Degree - Started On","started_on","Degree Date","degree was started","API + CSV","",""
"Degree - Subject","subject","Degree","Subject of the degree","API + CSV","Computer Science",""
"Degree - Type","type","Degree","Type of entity","CSV","degree","It will always be CSV in bulk export"
"Degree - Updated At","updated_at","Degree","Last update of degree","API + CSV","",""
"Degree - UUID","uuid","Degree","Unique Crunchbase ID of degree","API + CSV","16a607f5-8ab3-573e-8d09-57b3e352e1d3",""
"Event - Crunchbase URL","cb_url","Event","URL to the event in CB","CSV","https://www.crunchbase.com/event/dreamforce-20141013-san-francisco",""
"Event - City","city","Event","City associated with the event","CSV","San Francisco","In the API this is in location_identifiers"
"Event - Country Code","country_code","Event","Country code associated with the event","CSV","USA","In the API this is in location_identifiers"
"Event - Created At","created_at","Event","Time of creation for event","API + CSV","",""
"Event - Description","description","Event","Event Description of Event","API + CSV","",""
"Event - Ended On","ended_on","Event","Event End date of event","API + CSV","",""
"Event - Event Roles","event_roles","Event","Event Type of event","API + CSV","conference",""
"Event - Event URL","event_url","Event","Event URL to the event's website","API + CSV","https://www.montypythonlive.com/best-led-grow-lights/",""
"Event - Name","name","Event","Event Name of the event","API + CSV","Dreamforce 2014",""
"Event - Permalink","permalink","Event","Event Permalink for the event","API + CSV","dreamforce-20141013-san-francisco",""
"Event - Rank","rank","Event","CB rank of the top 100,000 most active events","API + CSV","",""
"Event - Region","region","Event","Region associated with the event","CSV","California","In the API this is in location_identifiers"
"Event - Registration URL","registration_url","Event","Event Registration URL for the event","API + CSV","http://www.salesforce.com/dreamforce/DF14/register.jsp?d=70130000000lhMG&internal=true",""
"Event - Short Description","short_description","Event","Event Short description for the event","API + CSV","Dreamforce is your chance to learn from industry visionaries, product experts, and world leaders.",""
"Event - Started On","started_on","Event","Event Start date for the event","API + CSV","",""
"Event - State Code","state_code","Event","State code associated with the event","CSV","CA","State codes only for USA and CAN; In the API this is in location_identifiers"
"Event - Type","type","Event","Event Type of entity","CSV","event","Always will be event in bulk export"
"Event - Updated At","updated_at","Event","Event Time event was last updated","API + CSV","",""
"Event - UUID","uuid","Event","ID used to identify the event","API + CSV","35e61ac8-58bf-0492-8285-39dc9c2b236d",""
"Event - Venue Name","venue_name","Event","Event Venue associated with the event","API + CSV","Moscone Center",""
"Event Appearance - Appearance Type","appearance_type","Event Appearance","Appearance type associated with the event appearance","API + CSV","sponsor","Sponsor"
"Event Appearance - Crunchbase URL","cb_url","Event Appearance","URL to the event appearance in CB","CSV","https://www.crunchbase.com/event_appearance/google-sponsor-grace-hopper-celebration-2014108-phoenix--9f8f973c",""
"Event Appearance - Created At","created_at","Event Appearance","Time the event appearance was created","API + CSV","",""
"Event Appearance - Event Location Identifiers","event_location_identifiers","Event Appearance","ID(s) used to identify location of the event appearance","API + CSV","",""
"Event Appearance - Event Name","event_name","Event Appearance","ID used to identify the event of the event appearance","API + CSV","",""
"Event Appearance - Event Starts On","event_starts_on","Event Appearance","Date that the event starts on","API + CSV","",""
"Event Appearance - Event UUID","event_uuid","Event Appearance","ID used to identify the event of the event appearance","API + CSV","",""
"Event Appearance - Name","name","Event Appearance","Name of the event appearance","API + CSV","Grace Hopper Celebration of Women in Computing 2014's sponsor - Google",""
"Event Appearance - Participant Name","participant_name","Event Appearance","ID used to identify participant of the event appearance","API + CSV","",""
"Event Appearance - Participant Type","participant_type","Event Appearance","Type of participant","CSV","person","Will be organization or person"
"Event Appearance - Participant UUID","participant_uuid","Event Appearance","ID used to identify participant of the event appearance","API + CSV","",""
"Event Appearance - Permalink","permalink","Event Appearance","ID used to identify the event appearance","API + CSV","google-sponsor-grace-hopper-celebration-2014108-phoenix--9f8f973c",""
"Event Appearance - Type","type","Event Appearance","Type of entity","CSV","event_appearance","Always will be event_appearance in bulk export"
"Event Appearance - Updated At","updated_at","Event Appearance","Time the event appearance was last updated","API + CSV","",""
"Event Appearance - UUID","uuid","Event Appearance","Unique Crunchbase ID of event appearance","API + CSV","9f8f973c-83d4-445e-8138-89c9ae1c4d59",""
"Fund - Announced On","announced_on","Fund Date","the fund was announced","API + CSV","",""
"Fund - Crunchbase URL","cb_url","Fund","Crunchbase profile URL","CSV","https://www.crunchbase.com/fund/us-venture-partners-raised-u-s--venture-partners-x--e803081d",""
"Fund - Created At","created_at","Fund Time","the fund was created","API + CSV","",""
"Fund - Entity Name","entity_name","Fund","ID used to identify owner of the fund","API + CSV","",""
"Fund - Entity Type","entity_type","Fund","Type of owner","CSV","organization",""
"Fund - Entity UUID","entity_uuid","Fund","ID used to identify owner of the fund","API + CSV","",""
"Fund - Name","name","Fund","Name of the fund","API + CSV","U.S. Venture Partners X",""
"Fund - Permalink","permalink","Fund","ID used to identify the fund","API + CSV","us-venture-partners-raised-u-s--venture-partners-x--e803081d",""
"Fund - Raised Amount","raised_amount","Fund","Money raised by the fund","API + CSV","","May not be in usd, but will also contain the usd value"
"Fund - Raised Amount Currency Code","raised_amount_currency_code","Fund","Currency code of money raised by the fund","API","","May not be in usd, but will also contain the usd value"
"Fund - Raised Amount USD","raised_amount_usd","Fund","Money raised in USD by the fund","API","","May not be in usd, but will also contain the usd value"
"Fund - Type","type","Fund","Type of entity","CSV","fund","Always will be fund in bulk export"
"Fund - Updated At","updated_at","Fund","Time the fund was last updated","API + CSV","",""
"Fund - UUID","uuid","Fund","ID used to identify the fund","API + CSV","e803081d-0974-eda7-ab5f-c0f1a0a432fe",""
"Funding Round - Announced On","announced_on","Funding Round Date","the funding round was announced","API + CSV","",""
"Funding Round - Crunchbase URL","cb_url","Funding Round","Crunchbase profile URL","CSV","https://www.crunchbase.com/funding_round/facebook-series-a--d950d7a5","Crunchbase site url"
"Funding Round - City","city","Funding Round","City that is associated with the funding round","CSV","San Francisco","In the API this can be found in funded_organization_location"
"Funding Round - Country Code","country_code","Funding Round","Country code associated with the funding round","CSV","USA","3 letter country code; In the API this can be found in funded_organization_location"
"Funding Round - Created At","created_at","Funding Round Time","funding round was created","API + CSV","",""
"Funding Round - Investment Type","investment_type","Funding Round","Investment type related to the funding round","API + CSV","series_a","Series A"
"Funding Round - Lead Investor Identifiers","lead_investor_uuids","Funding Round","ID(s) used to identify the lead investors involved in the funding round","API + CSV","b08efc27-da40-505a-6f9d-c9e14247bf36",""
"Funding Round - Name","name","Funding Round","Name of funding round","API + CSV","Series A - Facebook",""
"Funding Round - Funded Organization Name","org_name","Funding Round","ID used to identify the funded organization","API + CSV","",""
"Funding Round - Funded Organization UUID","org_uuid","Funding Round","ID used to identify the funded organization","API + CSV","",""
"Funding Round - Permalink","permalink","Funding Round","ID used to identify the funding round","API + CSV","facebook-series-a--d950d7a5",""
